id,EDA,TEMP,BVP,HR
S16,4.0,4.0,64.0,1.0
S16,0.0,29.45,-0.0,51.0
S16,0.568911,29.45,-0.0,63.5
S16,0.680387,29.45,-0.0,75.0
S16,0.8216,29.45,-0.0,72.25
S16,0.585835,29.45,-0.0,70.6
S16,0.584554,29.45,-0.0,69.5
S16,0.587116,29.45,-0.0,68.71
S16,0.588398,29.45,-0.0,68.12
S16,0.587116,29.43,-0.0,67.67
S16,0.583273,29.43,-0.0,67.4
S16,0.578147,29.43,0.0,67.18
S16,0.574303,29.43,0.01,67.0
S16,0.567897,29.45,0.01,66.85
S16,0.565334,29.45,-0.0,66.93
S16,0.558927,29.45,-0.03,67.2
S16,0.560209,29.45,-0.05,68.69
S16,0.553802,29.45,-0.05,70.47
S16,0.548677,29.45,0.0,72.44
S16,0.549958,29.45,0.13,74.16
S16,0.546114,29.45,0.36,75.7
S16,0.54227,29.45,0.66,77.29
S16,0.540989,29.45,1.01,78.73
S16,0.546114,29.45,1.37,80.09
S16,0.552521,29.45,1.72,81.38
S16,0.564053,29.47,2.06,82.64
S16,0.569178,29.47,2.4,82.69
S16,0.58071,29.47,2.79,82.7
S16,0.58071,29.47,3.24,82.71
S16,0.581991,29.47,3.8,82.72
S16,0.587116,29.47,4.42,82.67
S16,0.596086,29.47,5.06,82.58
S16,0.592242,29.47,5.66,82.5
S16,0.565334,29.49,6.2,82.3
S16,0.519206,29.49,6.68,82.15
S16,0.501267,29.49,7.15,82.06
S16,0.498705,29.49,7.68,81.94
S16,0.489735,29.49,8.31,81.76
S16,0.485891,29.49,9.14,81.63
S16,0.520487,29.49,10.09,81.49
S16,0.521769,29.49,11.04,81.32
S16,0.515362,29.51,11.88,81.2
S16,0.507674,29.51,12.56,81.12
S16,0.506393,29.51,13.14,81.0
S16,0.510237,29.51,13.76,80.93
S16,0.507674,29.51,14.65,80.89
S16,0.502549,29.51,15.96,80.89
S16,0.50383,29.51,17.91,80.77
S16,0.508955,29.51,20.32,80.71
S16,0.514081,29.51,22.9,80.71
S16,0.510237,29.51,25.38,80.64
S16,0.507674,29.51,27.58,80.61
S16,0.505111,29.51,29.57,80.52
S16,0.505111,29.53,31.68,80.45
S16,0.506393,29.53,34.32,80.56
S16,0.502549,29.53,37.81,80.67
S16,0.502549,29.53,42.54,80.79
S16,0.508955,29.51,48.15,80.95
S16,0.511518,29.51,54.1,81.1
S16,0.514081,29.51,59.83,81.24
S16,0.520487,29.51,64.97,81.23
S16,0.512799,29.53,69.58,81.8
S16,0.514081,29.53,74.14,81.9
