id,EDA,TEMP,BVP,HR
S18,4.0,4.0,64.0,1.0
S18,0.0,26.85,-0.0,58.0
S18,0.662648,26.85,-0.0,58.0
S18,1.01026,26.85,-0.0,58.67
S18,0.604025,26.85,-0.0,59.25
S18,0.596335,26.85,-0.0,64.0
S18,0.598898,26.85,-0.0,62.17
S18,0.60018,26.85,-0.0,61.86
S18,0.604025,26.85,-0.0,61.25
S18,0.605307,26.85,-0.0,61.56
S18,0.605307,26.85,-0.0,62.0
S18,0.606588,26.85,0.0,62.64
S18,0.606588,26.85,0.01,63.25
S18,0.60787,26.85,0.01,63.92
S18,0.609152,26.85,-0.0,64.57
S18,0.614279,26.85,-0.03,65.07
S18,0.612997,26.85,-0.05,65.5
S18,0.614279,26.83,-0.05,65.94
S18,0.61556,26.83,0.0,66.33
S18,0.614279,26.83,0.13,66.53
S18,0.612997,26.83,0.36,66.65
S18,0.614279,26.83,0.66,66.67
S18,0.61556,26.83,1.01,66.77
S18,0.614279,26.83,1.37,66.87
S18,0.612997,26.83,1.72,67.0
S18,0.61556,26.83,2.06,67.12
S18,0.612997,26.83,2.4,67.0
S18,0.614279,26.83,2.79,66.89
S18,0.610433,26.83,3.24,66.79
S18,0.612997,26.81,3.8,66.66
S18,0.616842,26.81,4.42,66.57
S18,0.612997,26.81,5.06,66.55
S18,0.611715,26.81,5.66,66.53
S18,0.611715,26.81,6.2,66.45
S18,0.614279,26.81,6.68,66.38
S18,0.611715,26.81,7.15,66.4
S18,0.612997,26.81,7.68,66.42
S18,0.566855,26.83,8.31,66.46
S18,0.619405,26.83,9.14,66.47
S18,0.612997,26.83,10.09,66.44
S18,0.606588,26.83,11.04,66.4
S18,0.610433,26.85,11.88,66.22
S18,0.61556,26.85,12.56,66.07
S18,0.61556,26.85,13.14,65.95
S18,0.61556,26.85,13.76,65.84
S18,0.619405,26.83,14.65,65.73
S18,0.616842,26.83,15.96,65.63
S18,0.618124,26.83,17.91,65.57
S18,0.616842,26.83,20.32,65.52
S18,0.623251,26.83,22.9,65.51
S18,0.614279,26.83,25.38,65.44
S18,0.611715,26.83,27.58,65.35
S18,0.610433,26.83,29.57,65.27
S18,0.611715,26.83,31.68,65.19
S18,0.606588,26.83,34.32,65.09
S18,0.611715,26.83,37.81,64.93
S18,0.610433,26.83,42.54,64.75
S18,0.609152,26.83,48.15,64.6
S18,0.606588,26.83,54.1,64.45
S18,0.605307,26.83,59.83,64.32
S18,0.612997,26.83,64.97,64.2
S18,0.602743,26.81,69.58,64.25
S18,0.60018,26.81,74.14,64.28
S18,0.601461,26.81,79.34,64.28
S18,0.60018,26.81,85.71,64.3
S18,0.602743,26.81,93.76,63.98
S18,0.60018,26.81,103.0,64.18
S18,0.60018,26.81,112.62,64.28
S18,0.598898,26.81,121.73,64.57
S18,0.598898,26.83,129.77,64.68
S18,0.593771,26.83,136.75,64.78
S18,0.596335,26.83,143.3,64.8
S18,0.592489,26.83,150.75,64.82
S18,0.592489,26.83,157.77,64.78
S18,0.591208,26.83,166.64,64.75
S18,0.591208,26.83,177.95,64.75
S18,0.591208,26.83,191.79,64.75
S18,0.589926,26.83,206.97,64.75
S18,0.587362,26.83,220.57,64.8
S18,0.587362,26.83,228.25,64.95
S18,0.589926,26.83,225.36,65.12
S18,0.592489,26.81,208.53,65.33
S18,0.587362,26.81,176.87,65.53
S18,0.591208,26.81,132.76,65.73
S18,0.589926,26.81,80.05,65.92
S18,0.586081,26.83,23.07,66.08
S18,0.587362,26.83,-34.94,66.37
S18,0.586081,26.83,-92.44,66.62
S18,0.584799,26.83,-149.16,66.87
S18,0.583517,26.83,-205.23,67.12
S18,0.582236,26.83,-260.37,67.35
S18,0.579672,26.83,-313.74,67.57
S18,0.57839,26.83,-363.87,67.78
S18,0.575827,26.83,-409.83,68.02
S18,0.574545,26.83,-450.91,68.25
S18,0.573264,26.83,-486.5,68.38
S18,0.575827,26.83,-515.74,68.52
S18,0.571982,26.83,-537.23,68.5
S18,0.571982,26.83,-549.22,68.52
S18,0.571982,26.83,-549.96,68.57
S18,0.569418,26.83,-538.37,68.63
S18,0.568137,26.81,-514.21,68.78
S18,0.569418,26.81,-478.67,68.9
S18,0.569418,26.81,-433.88,69.03
S18,0.566855,26.81,-382.45,69.22
S18,0.566855,26.83,-327.02,69.4
S18,0.565573,26.83,-269.84,69.62
S18,0.56301,26.83,-212.63,69.82
S18,0.564292,26.83,-156.66,70.05
S18,0.564292,26.83,-102.95,70.35
S18,0.56301,26.83,-52.37,70.65
S18,0.56301,26.83,-5.9,70.95
S18,0.56301,26.83,35.58,71.23
S18,0.56301,26.81,71.43,71.52
S18,0.561728,26.81,101.35,71.8
S18,0.561728,26.81,125.5,72.13
S18,0.564292,26.81,144.38,72.47
S18,0.56301,26.81,158.69,72.78
S18,0.56301,26.81,169.15,73.1
S18,0.561728,26.81,176.37,73.38
S18,0.564292,26.81,180.75,73.67
S18,0.56301,26.79,182.57,73.9
S18,0.560446,26.79,182.07,74.15
S18,0.560446,26.79,179.51,74.4
S18,0.560446,26.79,175.23,74.62
S18,0.560446,26.83,169.65,74.82
S18,0.559165,26.83,163.18,75.0
S18,0.559165,26.83,156.15,75.18
S18,0.556601,26.83,148.81,75.23
S18,0.556601,26.83,141.3,75.33
S18,0.556601,26.83,133.69,75.43
S18,0.557883,26.83,126.02,75.57
S18,0.559165,26.83,118.33,75.68
S18,0.559165,26.83,110.69,75.82
S18,0.559165,26.83,103.16,75.93
S18,0.560446,26.83,95.8,76.03
S18,0.564292,26.83,88.68,76.15
S18,0.560446,26.83,81.83,76.27
S18,0.560446,26.83,75.25,76.33
S18,0.559165,26.83,68.95,76.35
S18,0.559165,26.83,62.95,76.37
S18,0.55532,26.81,57.25,76.35
S18,0.559165,26.81,51.86,76.32
S18,0.557883,26.81,46.78,76.27
S18,0.55532,26.81,42.03,76.2
S18,0.559165,26.81,37.59,76.2
S18,0.560446,26.81,33.45,76.18
S18,0.559165,26.81,29.61,76.18
S18,0.556601,26.81,26.07,76.2
S18,0.556601,26.83,22.81,76.23
S18,0.55532,26.83,19.83,76.25
S18,0.554038,26.83,17.11,76.25
S18,0.557883,26.83,14.67,76.28
S18,0.557883,26.83,12.48,76.28
S18,0.557883,26.83,10.54,76.28
S18,0.559165,26.83,8.83,76.37
S18,0.560446,26.83,7.35,76.45
S18,0.559165,26.83,6.07,76.65
S18,0.560446,26.83,4.97,76.83
S18,0.560446,26.83,4.05,77.03
S18,0.561728,26.83,3.27,77.23
S18,0.560446,26.83,2.62,77.43
S18,0.561728,26.83,2.09,77.65
S18,0.566855,26.83,1.65,77.82
S18,0.565573,26.83,1.3,77.93
S18,0.566855,26.83,1.01,78.05
S18,0.565573,26.83,0.79,78.15
S18,0.565573,26.83,0.61,78.2
S18,0.568137,26.83,0.47,78.2
S18,0.569418,26.81,0.37,78.1
S18,0.568137,26.81,0.28,78.08
S18,0.569418,26.81,0.23,78.1
S18,0.566855,26.81,0.18,78.18
S18,0.5707,26.83,0.15,78.27
S18,0.571982,26.83,0.13,78.37
S18,0.569418,26.83,0.13,78.5
S18,0.568137,26.83,0.13,78.65
S18,0.564292,26.81,0.14,78.77
S18,0.560446,26.81,0.16,78.8
S18,0.561728,26.81,0.18,78.88
S18,0.561728,26.81,0.21,78.97
S18,0.561728,26.83,0.24,79.03
S18,0.565573,26.83,0.28,79.13
S18,0.569418,26.83,0.32,79.23
S18,0.57839,26.83,0.36,79.4
S18,0.592489,26.83,0.41,79.55
S18,0.597616,26.83,0.46,79.7
S18,0.597616,26.83,0.5,79.85
S18,0.596335,26.83,0.55,79.98
S18,0.596335,26.85,0.6,80.15
S18,0.596335,26.85,0.66,80.33
S18,0.60018,26.85,0.71,80.52
S18,0.60018,26.85,0.78,80.72
S18,0.591208,26.85,0.84,80.92
S18,0.584799,26.85,0.91,81.13
S18,0.582236,26.85,0.99,81.37
S18,0.583517,26.85,1.08,81.55
S18,0.587362,26.83,1.18,81.72
S18,0.587362,26.83,1.29,81.87
S18,0.587362,26.83,1.41,82.02
S18,0.588644,26.83,1.55,82.17
S18,0.589926,26.83,1.7,82.33
S18,0.592489,26.83,1.87,82.52
S18,0.588644,26.83,2.06,82.72
S18,0.589926,26.83,2.27,82.93
S18,0.591208,26.81,2.51,83.08
S18,0.593771,26.81,2.76,83.32
S18,0.593771,26.81,3.05,83.57
S18,0.592489,26.81,3.37,83.78
S18,0.595053,26.83,3.71,83.85
S18,0.592489,26.83,4.09,83.9
S18,0.592489,26.83,4.5,83.97
S18,0.597616,26.83,4.95,84.02
S18,0.596335,26.83,5.43,84.1
S18,0.595053,26.83,5.96,84.23
S18,0.595053,26.83,6.52,84.37
S18,0.595053,26.83,7.12,84.52
S18,0.597616,26.85,7.77,84.7
S18,0.592489,26.85,8.46,84.85
S18,0.593771,26.85,9.19,84.97
S18,0.595053,26.85,9.97,85.05
S18,0.595053,26.85,10.8,85.1
S18,0.593771,26.85,11.67,85.1
S18,0.596335,26.85,12.59,85.12
S18,0.591208,26.85,13.55,85.12
S18,0.595053,26.87,14.57,85.08
S18,0.593771,26.87,15.66,85.0
S18,0.593771,26.87,16.81,84.95
S18,0.592489,26.87,18.02,84.97
S18,0.591208,26.83,19.28,84.97
S18,0.593771,26.83,20.56,84.93
S18,0.589926,26.83,21.82,84.9
S18,0.593771,26.83,22.99,84.88
S18,0.592489,26.87,23.99,84.97
S18,0.591208,26.87,24.7,84.97
S18,0.592489,26.87,24.98,84.95
S18,0.593771,26.87,24.75,84.93
S18,0.595053,26.83,23.88,84.9
S18,0.598898,26.83,22.33,84.97
S18,0.593771,26.83,20.05,84.8
S18,0.592489,26.83,17.08,84.57
S18,0.592489,26.85,13.49,84.25
S18,0.592489,26.85,9.42,83.9
S18,0.593771,26.85,5.03,83.57
S18,0.593771,26.85,0.53,83.15
S18,0.591208,26.85,-3.86,82.73
S18,0.589926,26.85,-7.93,82.33
S18,0.588644,26.85,-11.51,81.88
S18,0.589926,26.85,-14.43,81.43
S18,0.591208,26.85,-16.63,80.95
S18,0.589926,26.85,-18.11,80.45
S18,0.592489,26.85,-18.88,79.97
S18,0.592489,26.85,-19.06,79.47
S18,0.593771,26.83,-18.75,78.92
S18,0.591208,26.83,-18.05,78.33
S18,0.589926,26.83,-17.04,77.73
S18,0.588644,26.83,-15.79,77.58
S18,0.591208,26.83,-14.35,77.42
S18,0.591208,26.83,-12.79,77.25
S18,0.589926,26.83,-11.16,77.13
S18,0.589926,26.83,-9.51,77.0
S18,0.592489,26.87,-7.94,76.85
S18,0.589926,26.87,-6.47,76.67
S18,0.589926,26.87,-5.07,76.48
S18,0.589926,26.87,-3.71,76.33
S18,0.589926,26.83,-2.29,76.18
S18,0.589926,26.83,-0.75,75.97
S18,0.589926,26.83,0.96,75.75
S18,0.591208,26.83,2.81,75.55
S18,0.588644,26.83,4.82,75.5
S18,0.592489,26.83,6.8,75.5
S18,0.591208,26.83,8.67,75.57
S18,0.592489,26.83,10.47,75.6
S18,0.589926,26.83,12.27,75.62
S18,0.589926,26.83,14.23,75.58
S18,0.591208,26.83,16.43,75.38
S18,0.589926,26.83,18.89,75.18
S18,0.591208,26.83,21.54,75.0
S18,0.591208,26.83,24.29,74.87
S18,0.593771,26.83,26.73,74.77
S18,0.593771,26.83,28.69,74.72
S18,0.591208,26.83,30.25,74.72
S18,0.591208,26.83,31.69,74.82
S18,0.591208,26.83,33.37,74.9
S18,0.591208,26.83,35.57,74.98
S18,0.592489,26.81,38.37,75.1
S18,0.588644,26.81,41.56,75.27
S18,0.587362,26.81,44.89,75.45
S18,0.589926,26.81,47.58,75.6
S18,0.595053,26.81,49.29,75.77
S18,0.593771,26.81,50.09,75.92
S18,0.593771,26.81,50.45,76.05
S18,0.596335,26.81,50.96,76.12
S18,0.60018,26.81,52.08,76.12
S18,0.601461,26.81,53.85,76.2
S18,0.601461,26.81,55.85,76.28
S18,0.604025,26.81,57.55,76.37
S18,0.605307,26.81,57.65,76.48
S18,0.612997,26.81,55.52,76.57
S18,0.612997,26.81,51.12,76.82
S18,0.618124,26.81,44.87,77.1
S18,0.619405,26.81,37.25,77.5
S18,0.621969,26.81,28.34,77.9
S18,0.623251,26.81,17.37,78.28
S18,0.623251,26.81,2.33,78.7
S18,0.623251,26.81,-14.71,79.12
S18,0.621969,26.81,-34.01,79.5
S18,0.624532,26.81,-56.23,79.9
S18,0.621969,26.81,-82.04,80.37
S18,0.621969,26.81,-111.6,80.85
S18,0.620687,26.81,-143.89,81.35
S18,0.621969,26.81,-176.25,81.85
S18,0.623251,26.81,-204.44,82.33
S18,0.621969,26.81,-223.63,82.87
S18,0.619405,26.81,-229.96,83.43
S18,0.618124,26.81,-222.84,84.02
S18,0.620687,26.81,-204.55,84.2
S18,0.618124,26.81,-179.59,84.4
S18,0.620687,26.81,-152.99,84.63
S18,0.616842,26.81,-128.52,84.83
S18,0.618124,26.81,-107.74,85.08
S18,0.618124,26.81,-90.31,85.37
S18,0.616842,26.81,-75.07,85.62
S18,0.619405,26.81,-61.02,85.88
S18,0.616842,26.81,-48.43,86.12
S18,0.614279,26.79,-37.76,86.33
S18,0.614279,26.79,-29.13,86.55
S18,0.61556,26.79,-22.02,86.75
S18,0.612997,26.79,-15.55,86.93
S18,0.61556,26.81,-8.94,87.08
S18,0.612997,26.81,-2.06,87.2
S18,0.614279,26.81,4.64,87.02
S18,0.614279,26.81,10.46,86.87
S18,0.61556,26.77,14.63,86.78
S18,0.61556,26.77,17.05,86.7
S18,0.619405,26.77,18.26,86.77
S18,0.620687,26.77,19.14,86.82
S18,0.614279,26.81,20.43,86.83
S18,0.618124,26.81,22.51,86.85
S18,0.616842,26.81,25.27,86.85
S18,0.619405,26.81,28.16,86.83
S18,0.618124,26.81,30.54,86.82
S18,0.619405,26.81,31.69,86.78
S18,0.618124,26.81,31.33,86.77
S18,0.620687,26.81,29.61,86.77
S18,0.620687,26.79,27.16,86.77
S18,0.619405,26.79,24.75,86.77
S18,0.616842,26.79,22.98,86.75
S18,0.612997,26.79,22.12,86.72
S18,0.61556,26.81,21.99,86.68
S18,0.616842,26.81,22.1,86.68
S18,0.61556,26.81,21.86,86.72
S18,0.616842,26.81,20.96,86.73
S18,0.618124,26.79,19.36,86.7
S18,0.61556,26.79,17.34,86.6
S18,0.618124,26.79,15.31,86.48
S18,0.618124,26.79,13.64,86.32
S18,0.623251,26.77,12.63,86.18
