id,EDA,TEMP,BVP,HR
S23,4.0,4.0,64.0,1.0
S23,0.0,30.89,-0.0,79.0
S23,0.026908,30.89,-0.0,68.5
S23,0.049972,30.89,-0.0,65.0
S23,0.051253,30.89,-0.0,73.25
S23,0.051253,30.89,-0.0,70.6
S23,0.052535,30.89,-0.0,67.0
S23,0.051253,30.89,-0.0,64.57
S23,0.051253,30.89,-0.0,62.75
S23,0.051253,30.87,-0.0,61.22
S23,0.051253,30.87,-0.0,60.1
S23,0.053816,30.87,0.0,59.09
S23,0.053816,30.87,0.01,60.83
S23,0.052535,30.83,0.01,62.23
S23,0.051253,30.83,-0.0,63.36
S23,0.052535,30.83,-0.03,64.0
S23,0.051253,30.83,-0.05,64.38
S23,0.052535,30.85,-0.05,64.71
S23,0.051253,30.85,0.0,65.11
S23,0.053816,30.85,0.13,65.53
S23,0.052535,30.85,0.36,65.95
S23,0.053816,30.83,0.66,66.33
S23,0.053816,30.83,1.01,66.73
S23,0.053816,30.83,1.37,67.09
S23,0.052535,30.83,1.72,67.46
S23,0.052535,30.83,2.06,67.8
S23,0.052535,30.83,2.4,68.12
S23,0.056379,30.83,2.79,68.37
S23,0.053816,30.83,3.24,68.54
S23,0.052535,30.81,3.8,68.72
S23,0.053816,30.81,4.42,68.9
S23,0.052535,30.81,5.06,69.0
S23,0.052535,30.81,5.66,69.12
S23,0.052535,30.77,6.2,69.48
S23,0.052535,30.77,6.68,69.82
S23,0.053816,30.77,7.15,69.97
S23,0.053816,30.77,7.68,70.19
S23,0.053816,30.81,8.31,70.41
S23,0.052535,30.81,9.14,70.61
S23,0.052535,30.81,10.09,70.82
S23,0.051253,30.81,11.04,71.03
S23,0.053816,30.81,11.88,71.2
S23,0.052535,30.81,12.56,71.31
S23,0.053816,30.81,13.14,71.12
S23,0.053816,30.81,13.76,70.95
S23,0.053816,30.79,14.65,70.82
S23,0.052535,30.79,15.96,70.78
S23,0.052535,30.79,17.91,70.79
S23,0.052535,30.79,20.32,70.79
S23,0.055097,30.75,22.9,70.82
S23,0.053816,30.75,25.38,70.86
S23,0.052535,30.75,27.58,70.92
S23,0.052535,30.75,29.57,71.0
S23,0.052535,30.79,31.68,71.06
S23,0.052535,30.79,34.32,71.11
S23,0.052535,30.79,37.81,71.15
S23,0.053816,30.79,42.54,71.18
S23,0.053816,30.75,48.15,71.19
S23,0.052535,30.75,54.1,71.19
S23,0.053816,30.75,59.83,71.22
S23,0.052535,30.75,64.97,71.27
S23,0.051253,30.77,69.58,71.18
S23,0.051253,30.77,74.14,71.47
S23,0.051253,30.77,79.34,71.78
S23,0.052535,30.77,85.71,71.45
S23,0.052535,30.75,93.76,71.73
S23,0.052535,30.75,103.0,72.28
S23,0.051253,30.75,112.62,72.85
S23,0.051253,30.75,121.73,73.4
S23,0.051253,30.73,129.77,73.98
S23,0.051253,30.73,136.75,74.62
S23,0.051253,30.73,143.3,75.23
S23,0.052535,30.73,150.75,75.33
S23,0.051253,30.73,157.77,75.4
S23,0.049972,30.73,166.64,75.43
S23,0.051253,30.73,177.95,75.43
S23,0.051253,30.73,191.79,75.53
S23,0.051253,30.71,206.97,75.65
S23,0.049972,30.71,220.57,75.72
S23,0.052535,30.71,228.25,75.77
S23,0.052535,30.71,225.36,75.82
S23,0.052535,30.73,208.53,75.87
S23,0.053816,30.73,176.87,75.87
S23,0.049972,30.73,132.76,75.87
S23,0.049972,30.73,80.05,75.82
S23,0.051253,30.69,23.07,75.77
S23,0.051253,30.69,-34.94,75.73
S23,0.049972,30.69,-92.44,75.73
S23,0.051253,30.69,-149.16,75.77
S23,0.049972,30.67,-205.23,75.78
S23,0.052535,30.67,-260.37,75.8
S23,0.052535,30.67,-313.74,75.85
S23,0.052535,30.67,-363.87,75.88
S23,0.051253,30.69,-409.83,75.85
S23,0.051253,30.69,-450.91,75.8
S23,0.053816,30.69,-486.5,75.83
S23,0.052535,30.69,-515.74,75.83
S23,0.051253,30.69,-537.23,75.82
S23,0.051253,30.69,-549.22,75.78
S23,0.052535,30.69,-549.96,75.83
S23,0.052535,30.69,-538.37,75.85
S23,0.051253,30.69,-514.21,75.87
S23,0.051253,30.69,-478.67,75.9
S23,0.052535,30.69,-433.88,76.18
S23,0.052535,30.69,-382.45,76.43
