EDA_1646665728.000000,EDA_id,TEMP_1646665728.000000,BVP_1646665728.00,HR_1646665738.000000
4.0,S31,4.0,64.0,1.0
0.0,S31,32.07,-0.0,88.0
0.083282,S31,32.07,-0.0,79.5
0.126844,S31,32.07,-0.0,72.33
0.121719,S31,32.07,-0.0,71.75
0.123,S31,32.07,-0.0,67.0
0.125563,S31,32.07,-0.0,66.5
0.124282,S31,32.07,-0.0,66.29
0.125563,S31,32.07,-0.0,66.12
0.124282,S31,32.09,-0.0,65.89
0.124282,S31,32.09,-0.0,65.2
0.125563,S31,32.09,0.0,64.91
0.121719,S31,32.09,0.01,64.67
0.124282,S31,32.07,0.01,65.46
0.125563,S31,32.07,-0.0,66.07
0.125563,S31,32.07,-0.03,66.53
0.126844,S31,32.07,-0.05,66.94
0.124282,S31,32.09,-0.05,67.29
0.124282,S31,32.09,0.0,67.56
0.125563,S31,32.09,0.13,67.79
0.124282,S31,32.09,0.36,68.0
0.124282,S31,32.09,0.66,68.19
0.125563,S31,32.09,1.01,68.32
0.124282,S31,32.09,1.37,68.43
0.124282,S31,32.09,1.72,68.54
0.124282,S31,32.09,2.06,68.64
0.124282,S31,32.09,2.4,68.77
0.125563,S31,32.09,2.79,68.89
0.125563,S31,32.09,3.24,69.04
0.123,S31,32.09,3.8,69.17
0.126844,S31,32.09,4.42,69.3
0.123,S31,32.09,5.06,69.42
0.124282,S31,32.09,5.66,69.53
0.125563,S31,32.11,6.2,69.64
0.125563,S31,32.11,6.68,69.76
0.124282,S31,32.11,7.15,69.89
0.125563,S31,32.11,7.68,69.97
0.124282,S31,32.11,8.31,70.05
0.123,S31,32.11,9.14,70.13
0.124282,S31,32.11,10.09,70.21
0.124282,S31,32.11,11.04,70.25
0.124282,S31,32.09,11.88,70.32
0.124282,S31,32.09,12.56,70.38
0.125563,S31,32.09,13.14,70.44
0.126844,S31,32.09,13.76,70.48
0.124282,S31,32.11,14.65,70.56
0.125563,S31,32.11,15.96,70.65
0.125563,S31,32.11,17.91,70.79
0.126844,S31,32.11,20.32,70.94
0.126844,S31,32.11,22.9,71.12
0.126844,S31,32.11,25.38,71.32
0.125563,S31,32.11,27.58,71.53
0.124282,S31,32.11,29.57,71.73
0.125563,S31,32.11,31.68,71.91
0.125563,S31,32.11,34.32,72.07
0.125563,S31,32.11,37.81,72.24
0.126844,S31,32.11,42.54,72.39
0.125563,S31,32.11,48.15,72.53
