EDA_1646836594.000000,TEMP_1646836594.000000,BVP_1646836594.00,HR_1646836604.000000
4.0,4.0,64.0,1.0
0.0,33.59,-0.0,78.0
0.107632,33.59,-0.0,78.0
0.151197,33.59,-0.0,78.0
0.151197,33.59,-0.0,78.0
0.155041,33.59,-0.0,79.0
0.15376,33.59,-0.0,79.83
0.15376,33.59,-0.0,80.57
0.155041,33.59,-0.0,81.12
0.155041,33.57,-0.0,81.56
0.155041,33.57,-0.0,81.9
0.15376,33.57,0.0,82.27
0.155041,33.57,0.01,82.58
0.15376,33.57,0.01,82.85
0.155041,33.57,-0.0,83.14
0.156322,33.57,-0.03,83.47
0.155041,33.57,-0.05,83.81
0.156322,33.57,-0.05,84.12
0.155041,33.57,0.0,84.39
0.155041,33.57,0.13,84.58
0.156322,33.57,0.36,84.75
0.156322,33.59,0.66,84.9
0.156322,33.59,1.01,85.0
0.156322,33.59,1.37,85.04
0.156322,33.59,1.72,85.04
0.156322,33.57,2.06,85.04
0.157604,33.57,2.4,85.04
0.156322,33.57,2.79,85.07
0.157604,33.57,3.24,85.11
0.155041,33.55,3.8,85.17
0.157604,33.55,4.42,85.23
0.157604,33.55,5.06,85.26
0.157604,33.55,5.66,85.31
0.158885,33.55,6.2,85.33
0.158885,33.55,6.68,85.35
0.158885,33.55,7.15,85.37
0.158885,33.55,7.68,85.39
0.158885,33.59,8.31,85.41
0.158885,33.59,9.14,85.42
0.157604,33.59,10.09,85.46
0.157604,33.59,11.04,85.47
0.158885,33.55,11.88,85.51
0.157604,33.55,12.56,85.55
0.157604,33.55,13.14,85.58
0.157604,33.55,13.76,85.61
0.157604,33.55,14.65,85.64
0.158885,33.55,15.96,85.67
0.158885,33.55,17.91,85.7
0.158885,33.55,20.32,85.71
0.158885,33.59,22.9,85.71
0.160166,33.59,25.38,85.72
0.157604,33.59,27.58,85.73
0.157604,33.59,29.57,85.73
0.158885,33.57,31.68,85.74
0.158885,33.57,34.32,85.74
0.160166,33.57,37.81,85.76
0.160166,33.57,42.54,85.8
0.160166,33.55,48.15,85.84
0.160166,33.55,54.1,85.88
0.160166,33.55,59.83,85.9
0.161448,33.55,64.97,85.9
0.160166,33.53,69.58,86.03
0.158885,33.53,74.14,86.15
0.161448,33.53,79.34,86.27
0.160166,33.53,85.71,86.38
0.160166,33.55,93.76,86.4
0.160166,33.55,103.0,86.4
0.160166,33.55,112.62,86.38
0.160166,33.55,121.73,86.37
0.160166,33.55,129.77,86.33
0.160166,33.55,136.75,86.32
0.160166,33.55,143.3,86.28
0.160166,33.55,150.75,86.25
0.160166,33.55,157.77,86.32
0.160166,33.55,166.64,86.35
0.160166,33.55,177.95,86.35
0.160166,33.55,191.79,86.33
0.162729,33.57,206.97,86.32
0.161448,33.57,220.57,86.28
0.161448,33.57,228.25,86.27
0.161448,33.57,225.36,86.25
0.162729,33.53,208.53,86.23
0.165292,33.53,176.87,86.23
0.165292,33.53,132.76,86.25
0.160166,33.53,80.05,86.28
0.160166,33.53,23.07,86.32
0.161448,33.53,-34.94,86.33
0.162729,33.53,-92.44,86.33
0.161448,33.53,-149.16,86.33
0.161448,33.53,-205.23,86.32
0.161448,33.53,-260.37,86.3
0.161448,33.53,-313.74,86.3
0.161448,33.53,-363.87,86.28
0.161448,33.55,-409.83,86.28
0.161448,33.55,-450.91,86.3
0.160166,33.55,-486.5,86.32
0.161448,33.55,-515.74,86.32
0.162729,33.53,-537.23,86.32
0.16401,33.53,-549.22,86.32
0.161448,33.53,-549.96,86.3
0.162729,33.53,-538.37,86.3
0.162729,33.53,-514.21,86.28
0.16401,33.53,-478.67,86.25
0.162729,33.53,-433.88,86.22
0.16401,33.53,-382.45,86.18
0.162729,33.53,-327.02,86.15
0.162729,33.53,-269.84,86.1
0.162729,33.53,-212.63,86.05
0.162729,33.53,-156.66,86.02
0.162729,33.5,-102.95,85.97
0.16401,33.5,-52.37,85.92
0.16401,33.5,-5.9,85.87
0.162729,33.5,35.58,85.83
0.16401,33.53,71.43,85.8
0.162729,33.53,101.35,85.77
0.162729,33.53,125.5,85.72
0.162729,33.53,144.38,85.65
0.161448,33.53,158.69,85.6
0.162729,33.53,169.15,85.57
0.16401,33.53,176.37,85.55
0.162729,33.53,180.75,85.55
0.162729,33.5,182.57,85.55
0.165292,33.5,182.07,85.57
0.162729,33.5,179.51,85.58
0.165292,33.5,175.23,85.6
0.165292,33.55,169.65,85.63
0.165292,33.55,163.18,85.65
0.16401,33.55,156.15,85.67
0.165292,33.55,148.81,85.68
0.165292,33.53,141.3,85.72
0.16401,33.53,133.69,85.75
0.165292,33.53,126.02,85.78
0.165292,33.53,118.33,85.83
0.166573,33.53,110.69,85.77
0.16401,33.53,103.16,85.73
0.16401,33.53,95.8,85.72
0.16401,33.53,88.68,85.7
0.165292,33.53,81.83,85.68
0.165292,33.53,75.25,85.68
0.16401,33.53,68.95,85.68
0.165292,33.53,62.95,85.68
0.165292,33.55,57.25,85.68
0.166573,33.55,51.86,85.68
0.165292,33.55,46.78,85.7
0.166573,33.55,42.03,85.72
0.166573,33.5,37.59,85.73
0.166573,33.5,33.45,85.77
0.165292,33.5,29.61,85.8
0.166573,33.5,26.07,85.83
0.165292,33.53,22.81,85.85
